Id,Price
4567,166309.59153932735
5925,126052.31657157539
960,135094.49002212132
3848,127317.95414727512
746,183376.76076548095
868,365024.1368063673
672,120631.84574905685
2471,199077.4089311222
4510,123678.20851789808
8354,258359.0192117255
6393,181826.54795746776
13270,247209.51622089243
5250,222774.7274725738
16751,172072.8705871753
11404,128658.96190754461
10588,324893.5787338302
14925,195804.99715964403
6791,234821.47255778566
16097,215533.96553092563
16428,366684.7878838126
6945,338654.65857883095
3190,189002.54520337872
15709,461015.7833490215
13155,154029.27059889951
7675,207417.66239181944
14686,231657.203763356
609,164161.5888868397
11155,140208.67745544735
10869,204329.23417712588
15742,182565.14371787076
9245,185034.82436117216
3340,164603.14198026172
2359,291996.2400281844
8070,194598.43269345255
13707,133263.5881790195
16079,255849.70660961853
15937,253866.64373011285
14090,180292.97754765628
9008,204258.72100160134
16384,173566.82071342893
11657,249849.52364404788
13151,139267.73003679785
8990,163472.49062148304
11857,190346.38877826327
1565,140751.39268618985
8174,104414.82913723345
9247,252767.2340189436
10478,227283.97533820718
15509,140688.9901076807
8306,201806.5323570173
6642,198039.78097831382
7472,223324.01345737715
15989,133848.89712332675
13682,133730.3222622375
163,249583.86527705687
7076,192979.89985961898
7478,325373.88469352183
3029,194187.97225219567
1814,141998.94904347937
10057,126577.89582903458
15100,183929.62186295254
12694,226268.68690074075
6291,188429.25757949668
12603,181348.37518473883
3218,252297.53690200864
13456,130175.09449653374
10170,237750.30928149447
4530,161932.01592287575
13329,159783.44013548965
4820,156832.60317741075
10896,167012.1346640787
13416,115822.60876673264
2701,222128.92282715678
11265,348564.229577908
9189,270507.9923824422
1858,197515.8222531266
14536,240243.42020733398
6199,296390.9486006823
14730,156837.49974438886
7510,264731.41599612974
15505,167717.95312798393
7446,187407.98741132335
14016,182508.787395914
14113,108640.56652834575
8721,282552.85172802926
6193,258750.03596459955
5717,175168.66868472128
5427,274841.5511214287
9520,563975.7869062491
6869,96321.65561390326
1658,156098.55488531178
6639,228300.4679939777
6283,183991.99716634568
6257,124640.4684012292
15235,189642.40853516804
902,212036.72446515822
8932,199620.6218732969
16469,344483.9691951361
2825,292150.1873288398
6450,435581.9534661199
11366,177328.0098010951
3801,320613.37716331077
11385,210233.90876273465
1079,204490.6768336472
3202,249339.27743872994
676,222379.37492790265
6185,268065.81837323727
7730,163575.37578954498
2573,182859.23913839372
10978,206414.94981644404
10962,254913.7235597638
8870,201494.31562705286
8496,169617.12843036494
5517,167789.37360656366
927,190495.40814998656
13675,196597.66202566464
1499,224543.26084873805
15536,347822.68272103224
8602,338649.31257418386
12137,459925.3553226586
9865,251518.64326549167
16353,288411.43875017716
15908,222409.20753238956
